Pokemon,Generation,Type 1,Type 2,HP,Attack,Defense,Special,Speed,BST,Tier
Zubat,rby,Poison,Flying,40,45,35,40,55,215,, NA
Golbat,rby,Poison,Flying,75,80,70,75,90,390,, NA
Oddish,rby,Grass,Poison,45,50,55,75,30,255,, NA
Gloom,rby,Grass,Poison,60,65,70,85,40,320,, NA
Vileplume,rby,Grass,Poison,75,80,85,100,50,390,, NA
Paras,rby,Bug,Grass,35,70,55,55,25,240,, NA
Parasect,rby,Bug,Grass,60,95,80,80,30,345,, NA
Venonat,rby,Bug,Poison,60,55,50,40,45,250,, NA
Venomoth,rby,Bug,Poison,70,65,60,90,90,375,, NA
Diglett,rby,Ground,,10,55,25,45,95,230,, NA
Dugtrio,rby,Ground,,35,80,50,70,120,355,, NA
Meowth,rby,Normal,,40,45,35,40,90,250,, NA
Persian,rby,Normal,,65,70,60,65,115,375,, NA
Psyduck,rby,Water,,50,52,48,50,55,255,, NA
Golduck,rby,Water,,80,82,78,80,85,405,, NA
Mankey,rby,Fighting,,40,80,35,35,70,260,, NA
Primeape,rby,Fighting,,65,105,60,60,95,385,, NA
Growlithe,rby,Fire,,55,70,45,50,60,280,, NA
Arcanine,rby,Fire,,90,110,80,80,95,455,, NA
Poliwag,rby,Water,,40,50,40,40,90,260,, NA
Poliwhirl,rby,Water,,65,65,65,50,90,335,, NA
Poliwrath,rby,Water,Fighting,90,85,95,70,70,410,, NA
Abra,rby,Psychic,,25,20,15,105,90,255,, NA
Kadabra,rby,Psychic,,40,35,30,120,105,330,, NA
Alakazam,rby,Psychic,,55,50,45,135,120,405,, NA
Machop,rby,Fighting,,70,80,50,35,35,270,, NA
Machoke,rby,Fighting,,80,100,70,50,45,345,, NA
Machamp,rby,Fighting,,90,130,80,65,55,420,, NA
Bellsprout,rby,Grass,Poison,50,75,35,70,40,270,, NA
Weepinbell,rby,Grass,Poison,65,90,50,85,55,345,, NA
Victreebel,rby,Grass,Poison,80,105,65,100,70,420,, NA
Tentacool,rby,Water,Poison,40,40,35,100,70,285,, NA
Tentacruel,rby,Water,Poison,80,70,65,120,100,435,, NA
Geodude,rby,Rock,Ground,40,80,100,30,20,270,, NA
Graveler,rby,Rock,Ground,55,95,115,45,35,345,, NA
Golem,rby,Rock,Ground,80,110,130,55,45,420,, NA
Ponyta,rby,Fire,,50,85,55,65,90,345,, NA
Rapidash,rby,Fire,,65,100,70,80,105,420,, NA
Slowpoke,rby,Water,Psychic,90,65,65,40,15,275,, NA
Slowbro,rby,Water,Psychic,95,75,110,80,30,390,, NA
Magnemite,rby,Electric,,25,35,70,95,45,270,, NA
Magneton,rby,Electric,,50,60,95,120,70,395,, NA
Farfetchd,rby,Normal,Flying,52,65,55,58,60,290,, NA
Doduo,rby,Normal,Flying,35,85,45,35,75,275,, NA
Dodrio,rby,Normal,Flying,60,110,70,60,100,400,, NA
Seel,rby,Water,,65,45,55,70,45,280,, NA
Dewgong,rby,Water,Ice,90,70,80,95,70,405,, NA
Grimer,rby,Poison,,80,80,50,40,25,275,, NA
Muk,rby,Poison,,105,105,75,65,50,400,, NA
Shellder,rby,Water,,30,65,100,45,40,280,, NA
Cloyster,rby,Water,Ice,50,95,180,85,70,480,, NA
Gastly,rby,Ghost,Poison,30,35,30,100,80,275,, NA
Haunter,rby,Ghost,Poison,45,50,45,115,95,350,, NA
Gengar,rby,Ghost,Poison,60,65,60,130,110,425,, NA
Onix,rby,Rock,Ground,35,45,160,30,70,340,, NA
Drowzee,rby,Psychic,,60,48,45,90,42,285,, NA
Hypno,rby,Psychic,,85,73,70,115,67,410,, NA
Krabby,rby,Water,,30,105,90,25,50,300,, NA
Kingler,rby,Water,,55,130,115,50,75,425,, NA
Voltorb,rby,Electric,,40,30,50,55,100,275,, NA
Electrode,rby,Electric,,60,50,70,80,140,400,, NA
Exeggcute,rby,Grass,Psychic,60,40,80,60,40,280,, NA
Exeggutor,rby,Grass,Psychic,95,95,85,125,55,455,, NA
Cubone,rby,Ground,,50,50,95,40,35,270,, NA
Marowak,rby,Ground,,60,80,110,50,45,345,, NA
Hitmonlee,rby,Fighting,,50,120,53,35,87,345,, NA
Hitmonchan,rby,Fighting,,50,105,79,35,76,345,, NA
Lickitung,rby,Normal,,90,55,75,60,30,310,, NA
Koffing,rby,Poison,,40,65,95,60,35,295,, NA
Weezing,rby,Poison,,65,90,120,85,60,420,, NA
Rhyhorn,rby,Ground,Rock,80,85,95,30,25,315,, NA
Rhydon,rby,Ground,Rock,105,130,120,45,40,440,, NA
Chansey,rby,Normal,,250,5,5,105,50,415,, NA
Tangela,rby,Grass,,65,55,115,100,60,395,, NA
Kangaskhan,rby,Normal,,105,95,80,40,90,410,, NA
Horsea,rby,Water,,30,40,70,70,60,270,, NA
Seadra,rby,Water,,55,65,95,95,85,395,, NA
Goldeen,rby,Water,,45,67,60,50,63,285,, NA
Seaking,rby,Water,,80,92,65,80,68,385,, NA
Staryu,rby,Water,,30,45,55,70,85,285,, NA
Starmie,rby,Water,Psychic,60,75,85,100,115,435,, NA
Mrmime,rby,Psychic,,40,45,65,100,90,340,, NA
Scyther,rby,Bug,Flying,70,110,80,55,105,420,, NA
Jynx,rby,Ice,Psychic,65,50,35,95,95,340,, NA
Electabuzz,rby,Electric,,65,83,57,85,105,395,, NA
Magmar,rby,Fire,,65,95,57,85,93,395,, NA
Pinsir,rby,Bug,,65,125,100,55,85,430,, NA
Tauros,rby,Normal,,75,100,95,70,110,450,, NA
Magikarp,rby,Water,,20,10,55,20,80,185,, NA
Gyarados,rby,Water,Flying,95,125,79,100,81,480,, NA
Lapras,rby,Water,Ice,130,85,80,95,60,450,, NA
Ditto,rby,Normal,,48,48,48,48,48,240,, NA
Eevee,rby,Normal,,55,55,50,65,55,280,, NA
Vaporeon,rby,Water,,130,65,60,110,65,430,, NA
Jolteon,rby,Electric,,65,65,60,110,130,430,, NA
Flareon,rby,Fire,,65,130,60,110,65,430,, NA
Porygon,rby,Normal,,65,60,70,75,40,310,, NA
Omanyte,rby,Rock,Water,35,40,100,90,35,300,, NA
Omastar,rby,Rock,Water,70,60,125,115,55,425,, NA
Kabuto,rby,Rock,Water,30,80,90,45,55,300,, NA
Kabutops,rby,Rock,Water,60,115,105,70,80,430,, NA
Aerodactyl,rby,Rock,Flying,80,105,65,60,130,440,, NA
Snorlax,rby,Normal,,160,110,65,65,30,430,, NA
Articuno,rby,Ice,Flying,90,85,100,125,85,485,, NA
Zapdos,rby,Electric,Flying,90,90,85,125,100,490,, NA
Moltres,rby,Fire,Flying,90,100,90,125,90,495,, NA
Dratini,rby,Dragon,,41,64,45,50,50,250,, NA
Dragonair,rby,Dragon,,61,84,65,70,70,350,, NA
Dragonite,rby,Dragon,Flying,91,134,95,100,80,500,, NA
Mewtwo,rby,Psychic,,106,110,90,154,130,590, NA
Mew,rby,Psychic,,100,100,100,100,100,500, NA
