Move,Generation,Typing,Category,BP,Accuracy,Base PP,PP,Description
Thrash,violet,Dragon,Special,100,100,10,16,User attacks for 2-3 turns but then becomes confused.
Thunder,violet,Electric,Special,120,70,10,16,10% chance to paralyze the target.
Thunder Punch,violet,Electric,Special,75,100,15,24,10% chance to paralyze the target.
Thunder Shock,violet,Electric,Special,40,100,30,48,10% chance to paralyze the target.
Thunder Wave,violet,Electric,Status,—,90,20,32,Paralyzes opponent.
Thunderbolt,violet,Electric,Special,90,100,15,24,10% chance to paralyze the target.
Toxic,violet,Poison,Status,—,100,10,16,Badly poisons opponent.
Transform,violet,Normal,Status,—,—,10,16,"Copies target's stats, moves, types, and species."
Tri Attack,violet,Ghost,Physical,80,100,10,16,
Twineedle,violet,Bug,Physical,40,100,20,32,Hits 2 times. 20% to poison per hit.
Vine Whip,violet,Grass,Special,35,100,25,40,
Vice Grip,violet,Bug,Physical,55,100,30,48,High critical hit ratio.
Water Gun,violet,Water,Special,40,100,25,40,
Waterfall,violet,Water,Special,80,100,15,24,
Whirlwind,violet,Flying,Physical,50,100,5,8,-1 move priority. Switches the target out.
Wing Attack,violet,Flying,Physical,35,100,35,56,
Withdraw,violet,Water,Status,—,—,40,64,Raises user's Defense.
Wrap,violet,Normal,Physical,40,90,5,8,Prevents the target from moving for 2-5 turns.
