Pokemon,Generation,Type 1,Type 2,HP,Attack,Defense,Special,Speed,BST,Tier
Haunter,tradebacks,Ghost,Poison,45,50,45,115,95,350,1U
Gengar,tradebacks,Ghost,Poison,60,65,60,130,110,425,1U
Onix,tradebacks,Rock,Ground,35,45,160,30,70,340,1U
Drowzee,tradebacks,Psychic,,60,48,45,90,42,285,1U
Hypno,tradebacks,Psychic,,85,73,70,115,67,410,1U
Krabby,tradebacks,Water,,30,105,90,25,50,300,1U
Kingler,tradebacks,Water,,55,130,115,50,75,425,1U
Voltorb,tradebacks,Electric,,40,30,50,55,100,275,1U
Electrode,tradebacks,Electric,,60,50,70,80,140,400,1U
Exeggcute,tradebacks,Grass,Psychic,60,40,80,60,40,280,1U
Exeggutor,tradebacks,Grass,Psychic,95,95,85,125,55,455,1U
Cubone,tradebacks,Ground,,50,50,95,40,35,270,1U
Marowak,tradebacks,Ground,,60,80,110,50,45,345,1U
Hitmonlee,tradebacks,Fighting,,50,120,53,35,87,345,1U
Hitmonchan,tradebacks,Fighting,,50,105,79,35,76,345,1U
Lickitung,tradebacks,Normal,,90,55,75,60,30,310,1U
Koffing,tradebacks,Poison,,40,65,95,60,35,295,1U
Weezing,tradebacks,Poison,,65,90,120,85,60,420,1U
Rhyhorn,tradebacks,Ground,Rock,80,85,95,30,25,315,1U
Rhydon,tradebacks,Ground,Rock,105,130,120,45,40,440,1U
Chansey,tradebacks,Normal,,250,5,5,105,50,415,1U
Tangela,tradebacks,Grass,,65,55,115,100,60,395,1U
Kangaskhan,tradebacks,Normal,,105,95,80,40,90,410,1U
Horsea,tradebacks,Water,,30,40,70,70,60,270,1U
Seadra,tradebacks,Water,,55,65,95,95,85,395,1U
Goldeen,tradebacks,Water,,45,67,60,50,63,285,1U
Seaking,tradebacks,Water,,80,92,65,80,68,385,1U
Staryu,tradebacks,Water,,30,45,55,70,85,285,1U
Starmie,tradebacks,Water,Psychic,60,75,85,100,115,435,1U
Mrmime,tradebacks,Psychic,,40,45,65,100,90,340,1U
Scyther,tradebacks,Bug,Flying,70,110,80,55,105,420,1U
Jynx,tradebacks,Ice,Psychic,65,50,35,95,95,340,1U
Electabuzz,tradebacks,Electric,,65,83,57,85,105,395,1U
Magmar,tradebacks,Fire,,65,95,57,85,93,395,1U
Pinsir,tradebacks,Bug,,65,125,100,55,85,430,1U
Tauros,tradebacks,Normal,,75,100,95,70,110,450,1U
Magikarp,tradebacks,Water,,20,10,55,20,80,185,1U
Gyarados,tradebacks,Water,Flying,95,125,79,100,81,480,1U
Lapras,tradebacks,Water,Ice,130,85,80,95,60,450,1U
Ditto,tradebacks,Normal,,48,48,48,48,48,240,1U
Eevee,tradebacks,Normal,,55,55,50,65,55,280,1U
Vaporeon,tradebacks,Water,,130,65,60,110,65,430,1U
Jolteon,tradebacks,Electric,,65,65,60,110,130,430,1U
Flareon,tradebacks,Fire,,65,130,60,110,65,430,1U
Porygon,tradebacks,Normal,,65,60,70,75,40,310,1U
Omanyte,tradebacks,Rock,Water,35,40,100,90,35,300,1U
Omastar,tradebacks,Rock,Water,70,60,125,115,55,425,1U
Kabuto,tradebacks,Rock,Water,30,80,90,45,55,300,1U
Kabutops,tradebacks,Rock,Water,60,115,105,70,80,430,1U
Aerodactyl,tradebacks,Rock,Flying,80,105,65,60,130,440,1U
Snorlax,tradebacks,Normal,,160,110,65,65,30,430,1U
Articuno,tradebacks,Ice,Flying,90,85,100,125,85,485,1U
Zapdos,tradebacks,Electric,Flying,90,90,85,125,100,490,1U
Moltres,tradebacks,Fire,Flying,90,100,90,125,90,495,1U
Dratini,tradebacks,Dragon,,41,64,45,50,50,250,1U
Dragonair,tradebacks,Dragon,,61,84,65,70,70,350,1U
Dragonite,tradebacks,Dragon,Flying,91,134,95,100,80,500,1U
Mewtwo,tradebacks,Psychic,,106,110,90,154,130,590,1U Banlist
Mew,tradebacks,Psychic,,100,100,100,100,100,500,1U Banlist
